tradingsymbol,exchange,from,entry_price,close_above_emas,close_below_emas,Unnamed: 0,date,open,high,low,close,volume,ema20,ema50,ema200,supertrend_dir,is_ema20_in_uptrend,is_ema50_in_uptrend,is_ema200_in_uptrend,is_ema20_in_downtrend,is_ema50_in_downtrend,is_ema200_in_downtrend,candle_cnt_close_above_ema50,candle_cnt_close_below_ema50,candle_cnt_ema50_above_ema200,candle_cnt_ema50_below_ema200,signal,quantity,exit_price,to,transaction_type,profit,account_value,index,strategy
NIFTY 50,NSE,2023-02-17 13:15:00+05:30,17932.35,False,True,147752,2023-02-17 13:15:00+05:30,17920.75,17937.2,17914.55,17932.35,0,17953.018474007215,17981.06923739281,17988.042749785538,-1,False,False,False,True,True,True,0,63,0,5,SELL,-2066.0,17419.5,2023-03-01 10:55:00+05:30,BUY,1059548.099999997,8471301.149999997,796,s8_NIFTY 50
NIFTY 50,NSE,2023-03-01 13:40:00+05:30,17420.55,True,False,148357,2023-03-01 13:40:00+05:30,17419.0,17422.05,17413.25,17420.55,0,17415.91705404579,17405.971223542263,17403.621870342016,1,True,True,True,False,False,True,5,0,9,0,BUY,2431.0,17348.0,2023-03-02 09:55:00+05:30,SELL,-176369.04999999824,8294932.099999999,797,s8_NIFTY 50
NIFTY 50,NSE,2023-03-02 10:40:00+05:30,17382.95,False,True,148396,2023-03-02 10:40:00+05:30,17385.7,17387.4,17378.2,17382.95,0,17384.505007378746,17400.847938441595,17405.605582448028,-1,True,True,False,True,True,True,0,17,0,6,SELL,-2385.0,17462.9,2023-03-03 09:40:00+05:30,BUY,-190680.75000000175,8104251.349999997,798,s8_NIFTY 50
NIFTY 50,NSE,2023-03-03 10:25:00+05:30,17521.2,True,False,148468,2023-03-03 10:25:00+05:30,17519.9,17521.6,17513.05,17521.2,0,17458.29614036983,17411.077809724924,17395.999848442396,1,True,True,True,False,False,False,15,0,5,0,BUY,2312.0,17655.65,2023-03-09 13:20:00+05:30,SELL,310848.40000000165,8415099.749999998,799,s8_NIFTY 50
NIFTY 50,NSE,2023-03-09 14:30:00+05:30,17607.8,False,True,148742,2023-03-09 14:30:00+05:30,17622.0,17622.35,17607.8,17607.8,0,17635.965954618125,17659.619478441102,17665.024833922707,-1,False,False,False,True,True,True,0,33,0,5,SELL,-2389.0,17075.75,2023-03-17 10:20:00+05:30,BUY,1271067.4499999983,9686167.199999996,800,s8_NIFTY 50
NIFTY 50,NSE,2023-03-17 12:20:00+05:30,16974.0,False,True,149166,2023-03-17 12:20:00+05:30,16977.45,16978.6,16964.05,16974.0,0,17017.06507861298,17024.105274259233,17051.178638609977,-1,True,True,False,True,True,True,0,5,0,280,SELL,-2853.0,17090.55,2023-03-17 14:55:00+05:30,BUY,-332517.1499999979,9353650.049999997,801,s8_NIFTY 50
NIFTY 50,NSE,2023-03-20 09:35:00+05:30,16960.1,False,True,149208,2023-03-20 09:35:00+05:30,16943.55,16967.35,16929.55,16960.1,0,17029.599077324066,17031.643731226715,17043.598807192135,-1,False,False,False,True,True,True,0,5,0,280,SELL,-2757.0,17060.55,2023-03-21 09:30:00+05:30,BUY,-276940.650000002,9076709.399999995,802,s8_NIFTY 50
NIFTY 50,NSE,2023-03-21 10:55:00+05:30,17058.7,True,False,149299,2023-03-21 10:55:00+05:30,17073.6,17073.8,17057.7,17058.7,0,17047.511305983502,17001.015508003107,16991.024349169096,1,True,True,True,False,False,False,35,0,5,0,BUY,2660.0,17027.7,2023-03-24 09:30:00+05:30,SELL,-82460.0,8994249.399999995,803,s8_NIFTY 50
NIFTY 50,NSE,2023-03-24 11:25:00+05:30,17046.15,False,True,149455,2023-03-24 11:25:00+05:30,17057.65,17057.65,17043.2,17046.15,0,17048.82923803026,17072.773007075186,17077.21402713441,-1,True,True,True,True,True,True,0,45,0,6,SELL,-2638.0,17075.65,2023-03-27 14:35:00+05:30,BUY,-77821.0,8916428.399999995,804,s8_NIFTY 50
NIFTY 50,NSE,2023-03-27 15:20:00+05:30,16977.1,False,True,149577,2023-03-27 15:20:00+05:30,16965.55,16977.85,16953.95,16977.1,0,17022.80311589497,17025.50983895411,17039.12706700181,-1,True,True,True,True,True,True,0,5,0,128,SELL,-2626.0,17036.55,2023-03-29 10:20:00+05:30,BUY,-156115.7000000019,8760312.699999994,805,s8_NIFTY 50
